,0,1,2
222,515,"Patten, William G. (William Gilbert)",53
223,516,"Standish, Burt L.",53
224,1000,"Huxley, T. H. (Thomas Henry)",53
225,1001,"Huxley, Thomas Henry",53
226,1725,"Davis, Richard Harding",53
227,2199,"Verne, Júlio",52
228,2200,"Verne, Jules Gabriël",52
229,2201,"Verne, Jules Gabriel",52
230,2202,"Verne, Gyula",52
231,2203,"Verne, Jules",52
232,4484,"Bennett, Enoch Arnold",52
233,4485,"Bennett, E. Arnold",52
234,4486,"Bennett, Arnold",52
235,5990,"Fosdick, Charles Austin",52
236,5991,"Castlemon, Henry",52
237,5992,"Castlemon, Harry",52
238,1024,"Crawford, Francis Marion",51
239,1025,"Crawford, F. Marion (Francis Marion)",51
240,544,"James, George Payne Rainsford",50
241,545,"James, G. P. R. (George Payne Rainsford)",50
242,613,"Kaler, James Otis",50
243,614,"Orton, James K.",50
244,615,"Otis, James",50
245,16109,"Benson, Edward Frederic",50
246,16110,"Benson, Edward F. (Edward Frederic)",50
247,16111,"Benson, E. F. (Edward Frederic)",50
248,260,"John, Gabriel",49
249,259,"Defo, Daniel",48
250,261,"Moreton, Andrew",48
251,262,"Defoë, Daniel",48
252,263,"Defoe, Daniel",48
253,693,"Sue, Eugene",48
254,694,"Sue, Marie Joseph",48
255,695,"Sue, Marie Joseph Eugène",48
256,696,"Sue, Eugène",48
257,3315,"Wodehouse, Pelham Grenville",48
258,3316,"Windham, Basil",48
259,3317,"Wodehouse, P.G.",48
260,3318,"Wodehouse, P. G. (Pelham Grenville)",48
261,134,"Townesend, Frances Eliza Hodgson Burnett",47
262,135,"Hodgson, Frances Eliza",47
263,136,"Burnett, Frances Hodgson",47
264,144,"Belloc, Joseph Hilaire Pierre",47
265,145,"Belloc, H.",47
266,146,"Belloc, Hilaire",47
267,810,"Толстой, Лев Николаевич",47
268,811,"Tolstoi, Leo",47
269,812,"Tolstoy, Lev N.",47
270,813,"Tolstoï, Léon",47
271,814,"Tolstoy, Graf Leo",47
272,815,"Tolstoj, Lev Nikolaevič",47
273,816,"Tolstoj, Lev Nikolaevic",47
274,817,"Tolstoy, Leo, graf",47
275,5353,"Kingley, Charles",47
276,5354,"Kingsley, C. (Charles)",47
277,5355,"Kingsley, Charles",47
278,2396,"Bindloss, Harold",46
279,2423,"Barnard, A. M.",46
280,2424,"Alcott, Louisa M. (Louisa May)",46
281,2425,"Alcott, L. M. (Louisa May)",46
282,2426,"Alcott, Louisa May",46
283,1325,"Lawton, Captain Wilbur",45
284,1326,"Deering, Fremont B.",45
285,1327,"Payson, Howard",45
286,1328,"Lawton, Wilbur",45
287,1329,Dexter J. Forrester,45
288,1330,"West, Marvin",45
289,1331,"Forrester, Dexter J.",45
290,1332,"Goldfrap, John Henry",45
291,2671,"Chambers, Robert William",45
292,2672,"Chambers, Robert W. (Robert William)",45
293,3276,"Burgess, Thornton Waldo",45
294,3277,"Burgess, Thornton W. (Thornton Waldo)",45
295,3558,"Richards, Laura E.",45
296,3559,"Richards, Laura Elizabeth Howe",45
297,6936,"Lesser, Milton",45
298,6937,"Thames, C. H.",45
299,6938,"Ridgway, Jason",45
300,6939,"Chase, Adam",45
301,6940,"Wilder, Stephen",45
302,6941,"Granger, Darius John",45
303,6942,"Marlowe, Stephen",45
304,11970,"Whittier, John G. (John Greenleaf)",45
305,11971,"Whittier, J. G. (John Greenleaf)",45
306,11972,"Whittier, John Greenleaf",45
307,3205,"Westerman, Percy F. (Percy Francis)",44
308,3984,"Marryat, Captain",44
309,3985,"Marryat, F. W. (Frederick W.)",44
310,3986,"Marryatt, Captain",44
311,3987,"Marryat, Kapitein",44
312,3988,"Marryat, Frederick",44
313,4126,"Snell, Roy Judson",44
314,4127,"Snell, Roy J. (Roy Judson)",44
315,2014,"Wharton, Edith Newbold Jones",43
316,2015,"Olivieri, David",43
