,0,1,2
285,666,"Galdós, Benito Pérez",58
286,667,"Perez Galdos, Benito",58
287,668,"Galdós, Pérez",58
288,669,"Pérez Galdós, Benito",58
289,2368,"Ibsen, Enrico",58
290,2369,"Ibsen, Henrik",58
291,5195,Marianne,58
292,5196,Erodore,58
293,5197,"Abbott, Jacob",58
294,4484,"Bennett, Enoch Arnold",57
295,4485,"Bennett, E. Arnold",57
296,4486,"Bennett, Arnold",57
297,4742,"Shaw, George Bernard",57
298,4743,"Shaw, Bernhard",57
299,4747,"Shaw, Bernard",57
300,1000,"Huxley, T. H. (Thomas Henry)",55
301,1001,"Huxley, Thomas Henry",55
302,4123,"Lorrequer, Harry",55
303,4124,"O'Dowd, Cornelius",55
304,4125,"Lever, Charles James",55
305,1648,"Davidson, Marion",54
306,1649,"Garis, Howard R.",54
307,1650,"Garis, Howard Roger",54
308,1725,"Davis, Richard Harding",54
309,4744,"Shaw, G. Bernard (George Bernard)",54
310,4745,"Bassetto, Corno di",54
311,4746,"Shaw, G. B. (George Bernard)",54
312,510,"Patten, Gilbert",53
313,511,"Patten, William Gilbert",53
314,512,"Wilder, William West",53
315,513,"Wilder, William W. (William West)",53
316,514,"Patten, George William",53
317,515,"Patten, William G. (William Gilbert)",53
318,516,"Standish, Burt L.",53
319,3984,"Marryat, Captain",53
320,3985,"Marryat, F. W. (Frederick W.)",53
321,3986,"Marryatt, Captain",53
322,3987,"Marryat, Kapitein",53
323,3988,"Marryat, Frederick",53
324,1024,"Crawford, Francis Marion",52
325,1025,"Crawford, F. Marion (Francis Marion)",52
326,1220,"Branco, Camilo Ferreira Botelho Castelo",52
327,1221,"Branco, Camilo Castelo",52
328,1222,"Corrêa Botelho, Camillo Ferreira Botelho Castello Branco, visconde de",52
329,1223,"Correa Botelho, Camillo Ferreira Botelho Castello Branco, visconde de",52
330,1224,"Correia Botelho, Camillo Castello Branco, visconde de",52
331,1225,"Botelho Castelo Branco, Camilo Ferreira",52
332,1226,"Castelo Branco, Camilo",52
333,1371,"Gloux, Olivier",52
334,1375,"Aimard, Gustave",52
335,5990,"Fosdick, Charles Austin",52
336,5991,"Castlemon, Henry",52
337,5992,"Castlemon, Harry",52
338,7791,"Collins, William Wilkie",52
339,7792,"Collins, Wilkie",52
340,540,"Stowe, Harriet Elizabeth Beecher",51
341,541,"Crowfield, Christopher",51
342,542,"Stowe, H. B. (Harriet Beecher)",51
343,543,"Stowe, Harriet Beecher",51
344,3315,"Wodehouse, Pelham Grenville",51
345,3316,"Windham, Basil",51
346,3318,"Wodehouse, P. G. (Pelham Grenville)",51
347,16109,"Benson, Edward Frederic",51
348,16110,"Benson, Edward F. (Edward Frederic)",51
349,16111,"Benson, E. F. (Edward Frederic)",51
350,544,"James, George Payne Rainsford",50
351,545,"James, G. P. R. (George Payne Rainsford)",50
352,613,"Kaler, James Otis",50
353,614,"Orton, James K.",50
354,615,"Otis, James",50
355,2442,"Arouet, François Marie",50
356,2443,"Arouet, Francois Marie",50
357,2444,Voltaire,50
358,3630,"Morgan, Jane",49
359,3631,"Cooper, Fenimore",49
360,3632,"Cooper, J. Fenimore (James Fenimore)",49
361,3633,"Cooper, James Fenimore",49
362,3781,"Fitch, Clarke",49
363,3782,"Garrison, Frederick",49
364,3783,"Sinclair, Upton Beall",49
365,3784,"Sinclair, Upton",49
366,5353,"Kingley, Charles",49
367,5354,"Kingsley, C. (Charles)",49
368,5355,"Kingsley, Charles",49
369,3317,"Wodehouse, P.G.",48
370,3675,"Gerstacker, Friedrich",48
371,3676,"Gerstäcker, Friedrich Wilhelm Christian",48
372,3677,"Gerstaecker, Frederick",48
373,3678,"Gerstäcker, Friedrich",48
374,144,"Belloc, Joseph Hilaire Pierre",47
375,145,"Belloc, H.",47
376,146,"Belloc, Hilaire",47
377,273,"Darwin, Charles Robert",47
378,274,"Darwin, Charles",47
379,1002,"Lebert, Marie",47
380,1340,"Poe, Edgar Allen",47
381,1345,"Poe, Edgar Allan",47
382,2671,"Chambers, Robert William",47
383,2672,"Chambers, Robert W. (Robert William)",47
384,3276,"Burgess, Thornton Waldo",47
385,3277,"Burgess, Thornton W. (Thornton Waldo)",47
386,5205,"Maeterlinck, Maurice",47
387,167,"Viaud, Julien",46
388,168,"Viaud, Louis Marie Julien",46
389,169,"Loti, Pierre",46
390,2396,"Bindloss, Harold",46
391,11970,"Whittier, John G. (John Greenleaf)",46
392,11971,"Whittier, J. G. (John Greenleaf)",46
393,11972,"Whittier, John Greenleaf",46
394,1325,"Lawton, Captain Wilbur",45
395,1326,"Deering, Fremont B.",45
396,1327,"Payson, Howard",45
397,1328,"Lawton, Wilbur",45
398,1329,Dexter J. Forrester,45
399,1330,"West, Marvin",45
400,1331,"Forrester, Dexter J.",45
401,1332,"Goldfrap, John Henry",45
402,1926,"Macaulay, Lord (Thomas Babington Macaulay)",45
403,1927,"Macaulay, T. Babington (Thomas Babington)",45
404,1928,"Macaulay, Thomas Babington",45
405,1929,"Macaulay, Thomas Babington Macaulay, Baron",45
406,3205,"Westerman, Percy F. (Percy Francis)",45
407,3558,"Richards, Laura E.",45
408,3559,"Richards, Laura Elizabeth Howe",45
409,5145,"Jerome, Jerome Klapka",45
410,5149,"Jerome, Jerome K. (Jerome Klapka)",45
411,6936,"Lesser, Milton",45
412,6937,"Thames, C. H.",45
413,6938,"Ridgway, Jason",45
414,6939,"Chase, Adam",45
415,6940,"Wilder, Stephen",45
416,6941,"Granger, Darius John",45
417,6942,"Marlowe, Stephen",45
418,7079,"Borrow, George Henry",45
419,7080,"Borrow, George",45
420,850,"Rollan, R.",44
421,851,"Rolland, Romain",44
422,1252,"Dostoevsky, Fyodor",44
423,1253,"Dostoievski, Fédor Mikhailovitch",44
424,1254,"Достоевский, Фёдор Михайлович",44
425,1255,"Dostoievski, Fiodor",44
426,1256,"Dostoievski, Fedor Mikhailovitch",44
427,1257,"Dostoyevsky, F. M.",44
428,1258,"Dostojewski, Fjodor Michailowitsch",44
429,1259,"Dostoyevsky, Fyodor Mikhailovich",44
430,1260,"Dostoyevsky, Fyodor",44
431,4126,"Snell, Roy Judson",44
432,4127,"Snell, Roy J. (Roy Judson)",44
433,284,"Chekov, Anton Pavlovich",43
434,285,"Чехов, Антон Павлович",43
435,286,"Tchekhov, Anton",43
436,287,"Tshehov, Anton",43
437,288,"Tchekhoff, Anton",43
438,289,"Tschechow, Anton",43
439,291,"Chekhov, Anton Pavlovich",43
440,1787,"Topelius, Zachris",43
441,1788,"Topelius, Zakarias",43
442,1789,"Topelius, Zakris",43
443,1790,"Topelius, Sakarias",43
444,1791,"Topelius, Zacharias",43
445,2630,"Nietzsche, Friedrich Wilhelm",43
446,3387,"Daudet, Louis Marie Alphonse",43
447,3388,"Daudet, Alphonse",43
448,5599,"Cannon, Richard",43
449,205,"Bailey, Arthur Scott",42
450,229,Q,42
451,230,"Quiller-Couch, Sir Arthur Thomas",42
452,231,"Quiller-Couch, A. T. (Arthur Thomas)",42
453,232,"Quiller-Couch, Arthur Thomas",42
454,233,"Quiller-Couch, Arthur",42
455,290,"Tchekoff, Anton",42
456,1833,Moliere,42
457,1834,"Molière, Jean Baptiste Poquelin de",42
458,1835,"Poquelin de Molière, Jean Baptiste",42
459,1836,"Poquelin, Jean-Baptiste",42
460,1837,Molière,42
461,1970,"Carlyle, T. (Thomas)",42
462,1971,"Carlyle, Thomas",42
463,2766,"Russell, W. Clark (William Clark)",42
464,2767,"Russell, William Clark",42
465,5950,National Park Service (U.S.),42
466,5951,United States. Department of the Interior. National Park Service,42
467,5952,"Service, United States National Park",42
468,5953,"Service, National Park",42
469,5954,United States. National Park Service,42
470,81,"Tagore, Rabindranath",41
471,1264,"Lagerlof, Selma",41
472,1265,"Lagerlöf, Selma Ottiliana Lovisa",41
473,1266,"Lagerloef, Selma",41
474,1267,"Lagerlöf, Selma",41
475,3973,"Rohlfs, Mrs. Charles",41
476,3974,"Rohlfs, Anna Katharine Green",41
477,3975,"Green, Anna Katharine",41
478,7355,"Swift, J. (Jonathan)",41
479,7356,"Swift, Jonathan",41
480,332,"Becke, George Louis",40
481,333,"Becke, Louis",40
482,892,"Flaubert, Gustave",40
483,1198,"Riggs, Kate Douglas Smith Wiggin",40
484,1199,"Smith, Kate Douglas",40
485,1200,"Riggs, George Christopher, Mrs.",40
486,1201,"Wiggin, Samuel Bradley, Mrs.",40
487,1202,"Wiggin, Kate Douglas Smith",40
488,2169,"Hancock, Harrie Irving",40
489,2170,"Hancock, H. Irving (Harrie Irving)",40
490,2315,"Sinclair, B. M. (Bertha Muzzy)",40
491,2316,"Sinclair, Bertha Muzzy",40
492,2317,"Bower, B. M.",40
493,3326,"Nesbit, Edith",40
494,3327,"Bland, Edith Nesbit",40
495,3328,"Nesbit, E. (Edith)",40
496,4321,"Michelet, J.",40
497,4322,"Michelet, Jules",40
498,4882,"Yeats, William Butler",40
499,4883,"Yeats, W. B. (William Butler)",40
500,11540,"Seingalt, Jacques Casanova de",40
501,11541,"Seingalt, Giacomo Girolamo Casanova de",40
502,11542,"Casanova, Giacomo",40
503,17,"Björnson, Björnstjerne",39
504,18,"Bjornson, Bjornstjerne",39
505,19,"Bjørnson, Bjørnstjerne",39
506,461,"Bangs, John Kendrick",39
507,2507,"Roosevelt, Theodore",39
508,3874,"Braddon, Mary Elizabeth",39
509,3875,"White, Babington",39
510,3876,"Breddon, Miss",39
511,3877,"Maxwell, Mary Elizabeth Braddon",39
512,3879,"Braddon, M. E. (Mary Elizabeth)",39
513,7452,"Flower, Jessie Graham",39
514,7453,"Lester, Pauline",39
515,7454,"Gordon, Grace",39
516,7455,"Thompson, Ames",39
517,7456,"Bates, Gordon",39
518,7457,"Chase, Josephine",39
519,10369,"Matull, Kurt",39
520,58,"Johnston, Annie Fellows",38
521,59,"Fellows, Annie",38
522,60,"Johnston, Annie F. (Annie Fellows)",38
523,955,"Crayon, Geoffrey",38
524,956,"Irving, Washington",38
525,957,"Hawkins, Anthony Hope",38
526,958,"Hope, Anthony",38
527,1532,"Fontaine, Jean de La",38
528,1533,"De La Fontaine, Jean",38
529,1534,"Fontaine, Jean de la",38
530,1535,"La Fontaine, Jean de",38
531,1618,"Holmes, Oliver Wendell",38
532,2504,United States President (1901-1909),38
533,2505,"Roosevelt, Teddy",38
534,2521,"Farquharson, Martha",38
535,2522,Cousin Martha,38
536,2523,"Finley, Martha",38
537,2994,"Curwood, James Oliver",38
538,3878,"Braddon, Mary E.",38
539,4605,"Piper, Henry Beam",38
540,4606,"Piper, H. Beam",38
541,10364,"Blank, Matthias",38
542,10365,"Blakensee, Theo",38
543,10366,"Bakensee, Theo",38
544,10367,"Blankensee, Theo von",38
545,128,"Wood, Ellen Price",37
546,129,"Ludlow, Johnny",37
547,130,"Price, Ellen",37
548,131,"Wood, Mrs. Henry",37
549,132,"Wood, Mrs. Henry (Ellen)",37
550,133,"Wood, Henry, Mrs.",37
551,164,"Harper, C. G.",37
552,165,"Harper, Charles G. (Charles George)",37
553,966,"Stockton, Frank R. (Frank Richard)",37
554,967,"Stockton, Francis Richard",37
555,968,"Stockton, Frank Richard",37
556,3930,"Тургенев, Иван Сергеевич",37
557,3931,"Tourgueneff, Ivan",37
558,3932,"Turgénieff, Iván",37
559,3933,"Toergenev, Ivan",37
560,3934,"Turgenjeff, Iwan",37
561,3935,"Turgenev, I. S.",37
562,3936,"Turgenev, Ivan Sergeevich",37
563,1473,"McCutcheon, George Barr",36
564,1899,"Lawrence, D.H.",36
565,1900,"Lawrence, David Herbert",36
566,1901,"Davison, Lawrence H. (Lawrence Herbert)",36
567,1902,"Lawrence, D. H. (David Herbert)",36
568,2026,"Appleton, Victor",36
569,2696,"Roberts, Sir Charles George Douglas",36
570,2697,"Roberts, Charles George Douglas, Sir",36
571,2698,"Roberts, Sir Charles G. D.",36
572,2699,"Roberts, Charles G. D., Sir",36
573,3005,"Strang, Herbert",36
574,3438,"Sienkiewicz, Henryk",36
575,5243,"Fitzhugh, P. K. (Percy Keese)",36
576,5244,"Fitzhugh, Percy K.",36
577,5245,"Lloyd, Hugh",36
578,5246,"Fitzhugh, Percy Keese",36
579,7019,Όμηρος,36
580,7020,Homer,36
581,1110,"Dyke, Henry Van",35
582,1111,"Dyke, Henry Jackson Van",35
583,1112,"Dyke, Henry I. Van",35
584,1122,"Van Dyke, Henry",35
585,1551,"O'Hara, Kenneth",35
586,1552,"Walton, Bryce",35
587,2901,"Dodgson, Charles Lutwidge",35
588,2902,"Carroll, Lewis",35
589,3043,"Arthur, Timothy Shay",35
