author_name,book_id
"Roosevelt, Robert Barnwell",35030
"Oppenheim, Lassa Francis Lawrence",48369
"Oppenheim, Lassa Francis Lawrence",28568
"Putnam, Arthur Lee",49984
"Alger, Horatio, Jr.",65544
"Preston, Charles F.",48229
"Alger, Horatio",60117
"Alger, Horatio",48404
"Alger, Horatio, Jr.",44313
"Slick, Sam",49250
"Slick, Sam",68045
"Haliburton, Thomas Chandler",54978
"Leacock, Stephen Butler",4645
"Leacock, Stephen Butler",55418
"Leacock, Stephen Butler",47758
"Leacock, Stephen",58916
"Hawthorne, Nathaniel",55906
"Hawthorne, Nathaniel",69256
"Harmon, James Judson",48226
"Harmon, James Judson",6885
"Harmon, Jim",57157
"Harmon, Jim",55918
"Johnston, Annie Fellows",69063
"Fellows, Annie",14270
"Fellows, Annie",66480
"Johnston, Annie F. (Annie Fellows)",26756
"Johnston, Annie F. (Annie Fellows)",39562
"Hope, Laura Lee",61593
"Ingham, Frederic",66523
"Hale, Edward Everett",52781
"Townesend, Frances Eliza Hodgson Burnett",67404
"Hodgson, Frances Eliza",11703
"Hodgson, Frances Eliza",45128
"Burnett, Frances Hodgson",59664
"Jacobi, Carl Richard",45448
"Jacobi, Carl Richard",20570
"Jacobi, Carl",55
"Simak, Clifford Donald",5754
"Simak, Clifford Donald",40086
"Harte, Francis Bret",56267
"Harte, Bret",50380
"Harte, Bret",50906
"Harte, Bret",50671
"Long, Helen Beecher",61079
"Long, Helen Beecher",61
"Wells, Carolyn",73
"Wells, Carolyn",50444
"Carter, Nicholas (House name)",17623
"Carter, Nicholas (House name)",70011
"Boston, Ralph",50021
"Churchill, Winston",14235
"Churchill, Winston",57985
"Seton-Thompson, Ernest",41975
"Seton-Thompson, Ernest",64840
"Seton, Ernest Thompson",26547
"Mayne-Reid, Captain",664
"Mayne-Reid, Captain",22159
"Mayne-Reid, Captain",70050
"Reid, Thomas Mayne",58563
"Reid, Thomas Mayne",914
"Reid, Mayne",60889
"Reid, Mayne",68576
Fort Wayne (Ind.). Public Library of Fort Wayne and Allen County,50075
Fort Wayne (Ind.). Public Library of Fort Wayne and Allen County,50300
Fort Wayne (Ind.). Public Library of Fort Wayne and Allen County,110
Fort Wayne Public Library,59345
Ft. Wayne Public Library,67653
Emerine J. Hamilton Reading Room,29320
"Wilkins, Mary E. (Mary Eleanor)",50060
"Freeman, Mary E. Wilkins (Mary Eleanor Wilkins)",6138
"Freeman, Mary E. Wilkins (Mary Eleanor Wilkins)",31281
"Wilkins, Mary Ella",66426
"Bangs, John Kendrick",65420
"Bangs, John Kendrick",59496
"Howells, W. D. (William Dean)",16386
"Howells, William D. (William Dean)",57649
"Howells, William D. (William Dean)",58170
"Howells, William D. (William Dean)",61905
"Howells, William D. (William Dean)",63511
"Howells, William Dean",67514
"Phelps, E. Stuart (Elizabeth Stuart)",68548
"Phelps, E. Stuart (Elizabeth Stuart)",50775
"Dyke, Henry Van",67282
"Dyke, Henry Van",52986
"Dyke, Henry Van",40327
"Dyke, Henry Van",26872
"Dyke, Henry Jackson Van",4777
"Dyke, Henry Jackson Van",45352
"Dyke, Henry Jackson Van",16067
"Dyke, Henry Jackson Van",50287
"Dyke, Henry I. Van",67087
"Dyke, Henry I. Van",49523
"Dyke, Henry I. Van",48869
"Brown, Alice",70151
"Brown, Alice",58514
"Van Dyke, Henry",68424
"Smith, Edward Elmer",17432
"Smith, Edward Elmer",56431
"Smith, Doc",51672
"Smith, Edward E.",63568
"Smith, E. E. (Edward Elmer)",63485
"Van Dyne, Edith",49733
"Sampson, Emma Speed",15434
"Sampson, Emma Speed",36805
"Baum, Lyman Frank",5245
"Baum, Lyman Frank",64028
"Baum, Lyman Frank",43987
"Metcalf, Suzanne",67488
"Metcalf, Suzanne",225
"Akers, Floyd",7322
"Fitzgerald, Capt. Hugh",53722
"Staunton, Schuyler",59843
"Staunton, Schuyler",13769
"Baum, L. Frank (Lyman Frank)",60788
"Koizumi, Yakumo",62303
"Koizumi, Yakumo",63285
"Hearn, Patrick Lafcadio",56359
"Xiaoquan, Bayun",931
"Hearn, Lafcadio",35642
"Morrison, William",56128
"Morrison, William",69466
"Morrison, William",48176
"Morrison, William",60670
"Samachson, Joe",147
"Samachson, Joseph",13464
"Blade, Alexander",48343
"Blade, Alexander",63397
"Hamilton, Edmond",38242
"Brackett, Leigh Douglass",52888
"Brackett, Leigh Douglass",3223
"Hamilton, Leigh Brackett",48754
"Hamilton, Leigh Brackett",56162
"Brackett, Leigh",65665
"Brackett, Leigh",68980
"Brackett, Leigh",48212
"Oliphant, Margaret Oliphant Wilson",31475
"Oliphant, Margaret Oliphant Wilson",38737
Mrs. (Margaret) Oliphant,67000
"Olyphant, Mrs.",52504
"Olyphant, Mrs.",67527
"Olyphant, Mrs.",66256
"Oliphant, M. O. W. (Margaret Oliphant Wilson)",62298
"Oliphant, Mrs. Margaret",16743
"Oliphant, Mrs. Margaret",18017
"Oliphant, Mrs. Margaret",67013
"Oliphant, Mrs.",34363
"Wilson, Margaret",6691
"Wilson, Margaret",56357
"Wilson, Margaret",29394
"Oliphant, Mrs. (Margaret)",49825
"Lynde, Francis",54782
"Lynde, Francis",69550
"Lynde, Francis",51083
"Edwards, Al",27582
"Edwards, Al",50829
"Nourse, Alan E. (Alan Edward)",67673
"Nourse, Alan E. (Alan Edward)",163
"Nourse, Alan E. (Alan Edward)",22517
"Nourse, Alan E. (Alan Edward)",13182
"Nourse, Alan Edward",60189
"Nourse, Alan Edward",63513
"Sheldon, Walt",40625
"Sheldon, Walt",56329
"Sheldon, Walter James",39585
"Sheldon, Walter James",69403
"Bedford-Jones, Henry James O'Brien",60255
"Bedford-Jones, Henry James O'Brien",66600
"Bedford-Jones, Henry James O'Brien",68651
"Wycliffe, John",69802
"Wycliffe, John",30192
"Wycliffe, John",44811
"Bedford-Jones, H. (Henry)",15885
"Bedford-Jones, H. (Henry)",55596
"Burroughs, Edgar Rice",42885
"Burroughs, Edgar Rice",63256
"Seaman, Elizabeth Cochrane",47312
"Seaman, Elizabeth Cochrane",209
"Cochran, Elizabeth",62836
"Patten, Gilbert",63729
"Patten, Gilbert",52129
"Patten, William Gilbert",54436
"Wilder, William W. (William West)",26347
"Patten, George William",47363
"Patten, George William",19210
"Patten, George William",48943
"Patten, William G. (William Gilbert)",56584
"Standish, Burt L.",38598
"Parley, Peter",58272
"Parley, Peter",51604
"Goodrich, Samuel Griswold",20118
"Goodrich, S. G. (Samuel Griswold)",55008
"Goodrich, Samuel G. (Samuel Griswold)",68237
"Wheeler, Ella",56572
"Wheeler, Ella",17410
"Wilcox, Ella Wheeler",2263
"Wilcox, Ella Wheeler",65475
"Johnson, Benj. F. of Boone",57936
