,0,1,2
234,1000,"Huxley, T. H. (Thomas Henry)",54
235,1001,"Huxley, Thomas Henry",54
236,1648,"Davidson, Marion",54
237,1649,"Garis, Howard R.",54
238,1650,"Garis, Howard Roger",54
239,1725,"Davis, Richard Harding",54
240,10,"Zola, Émile Édouard Charles Antoine",53
241,11,"Zola, Emile",53
242,12,"Zola, Émile",53
243,134,"Townesend, Frances Eliza Hodgson Burnett",53
244,135,"Hodgson, Frances Eliza",53
245,136,"Burnett, Frances Hodgson",53
246,242,"Mayne-Reid, Captain",53
247,243,"Reid, Thomas Mayne",53
248,244,"Reid, Mayne",53
249,510,"Patten, Gilbert",53
250,511,"Patten, William Gilbert",53
251,512,"Wilder, William West",53
252,513,"Wilder, William W. (William West)",53
253,514,"Patten, George William",53
254,515,"Patten, William G. (William Gilbert)",53
255,516,"Standish, Burt L.",53
256,2202,"Verne, Gyula",52
257,5990,"Fosdick, Charles Austin",52
258,5991,"Castlemon, Henry",52
259,5992,"Castlemon, Harry",52
260,810,"Толстой, Лев Николаевич",51
261,811,"Tolstoi, Leo",51
262,812,"Tolstoy, Lev N.",51
263,813,"Tolstoï, Léon",51
264,814,"Tolstoy, Graf Leo",51
265,817,"Tolstoy, Leo, graf",51
266,1024,"Crawford, Francis Marion",51
267,1025,"Crawford, F. Marion (Francis Marion)",51
268,3315,"Wodehouse, Pelham Grenville",51
269,3316,"Windham, Basil",51
270,3318,"Wodehouse, P. G. (Pelham Grenville)",51
271,16109,"Benson, Edward Frederic",51
272,16110,"Benson, Edward F. (Edward Frederic)",51
273,16111,"Benson, E. F. (Edward Frederic)",51
274,544,"James, George Payne Rainsford",50
275,545,"James, G. P. R. (George Payne Rainsford)",50
276,613,"Kaler, James Otis",50
277,614,"Orton, James K.",50
278,615,"Otis, James",50
279,2423,"Barnard, A. M.",49
280,2424,"Alcott, Louisa M. (Louisa May)",49
281,2425,"Alcott, L. M. (Louisa May)",49
282,2426,"Alcott, Louisa May",49
283,693,"Sue, Eugene",48
284,694,"Sue, Marie Joseph",48
285,695,"Sue, Marie Joseph Eugène",48
286,696,"Sue, Eugène",48
287,3317,"Wodehouse, P.G.",48
288,144,"Belloc, Joseph Hilaire Pierre",47
289,145,"Belloc, H.",47
290,146,"Belloc, Hilaire",47
291,815,"Tolstoj, Lev Nikolaevič",47
292,816,"Tolstoj, Lev Nikolaevic",47
293,2671,"Chambers, Robert William",47
294,2672,"Chambers, Robert W. (Robert William)",47
295,3276,"Burgess, Thornton Waldo",47
296,3277,"Burgess, Thornton W. (Thornton Waldo)",47
297,5353,"Kingley, Charles",47
298,5354,"Kingsley, C. (Charles)",47
299,5355,"Kingsley, Charles",47
300,2396,"Bindloss, Harold",46
301,4742,"Shaw, George Bernard",46
302,4743,"Shaw, Bernhard",46
303,4747,"Shaw, Bernard",46
304,11970,"Whittier, John G. (John Greenleaf)",46
305,11971,"Whittier, J. G. (John Greenleaf)",46
306,11972,"Whittier, John Greenleaf",46
307,1325,"Lawton, Captain Wilbur",45
308,1326,"Deering, Fremont B.",45
309,1327,"Payson, Howard",45
310,1328,"Lawton, Wilbur",45
311,1329,Dexter J. Forrester,45
312,1330,"West, Marvin",45
313,1331,"Forrester, Dexter J.",45
314,1332,"Goldfrap, John Henry",45
315,3558,"Richards, Laura E.",45
316,3559,"Richards, Laura Elizabeth Howe",45
317,6936,"Lesser, Milton",45
318,6937,"Thames, C. H.",45
319,6938,"Ridgway, Jason",45
320,6939,"Chase, Adam",45
321,6940,"Wilder, Stephen",45
322,6941,"Granger, Darius John",45
323,6942,"Marlowe, Stephen",45
324,3205,"Westerman, Percy F. (Percy Francis)",44
325,3984,"Marryat, Captain",44
326,3985,"Marryat, F. W. (Frederick W.)",44
327,3986,"Marryatt, Captain",44
328,3987,"Marryat, Kapitein",44
329,3988,"Marryat, Frederick",44
330,4126,"Snell, Roy Judson",44
331,4127,"Snell, Roy J. (Roy Judson)",44
332,1628,"Wilde, Oscar Fingal O'Flahertie Wills",43
333,1629,"Wilde, Oscar",43
334,4744,"Shaw, G. Bernard (George Bernard)",43
335,4745,"Bassetto, Corno di",43
336,4746,"Shaw, G. B. (George Bernard)",43
337,5599,"Cannon, Richard",43
338,205,"Bailey, Arthur Scott",42
339,229,Q,42
340,230,"Quiller-Couch, Sir Arthur Thomas",42
341,231,"Quiller-Couch, A. T. (Arthur Thomas)",42
